title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
讲故事,radio,gù shi,故事,比赛,号码,评判,得分,胖子,反义词,勇敢,预测,结局,A,
,radio,bǐ sài,故事,比赛,号码,评判,得分,胖子,反义词,勇敢,预测,结局,B,
,radio,hào mǎ,故事,比赛,号码,评判,得分,胖子,反义词,勇敢,预测,结局,C,
,radio,píng pàn,故事,比赛,号码,评判,得分,胖子,反义词,勇敢,预测,结局,D,
,radio,dé fēn,故事,比赛,号码,评判,得分,胖子,反义词,勇敢,预测,结局,E,
,radio,pàng zi,故事,比赛,号码,评判,得分,胖子,反义词,勇敢,预测,结局,F,
,radio,fǎn yì cí,故事,比赛,号码,评判,得分,胖子,反义词,勇敢,预测,结局,G,
,radio,yǒng gǎn,故事,比赛,号码,评判,得分,胖子,反义词,勇敢,预测,结局,H,
,radio,yù cè,故事,比赛,号码,评判,得分,胖子,反义词,勇敢,预测,结局,I,
,radio,jié jú,故事,比赛,号码,评判,得分,胖子,反义词,勇敢,预测,结局,J,
