title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
我们毕业了,radio,bì yè,毕业,典礼,友谊,感言,计划,目标,感谢卡,回忆,家长日,祝福,A,
,radio,diǎn lǐ,毕业,典礼,友谊,感言,计划,目标,感谢卡,回忆,家长日,祝福,B,
,radio,yǒu yì,毕业,典礼,友谊,感言,计划,目标,感谢卡,回忆,家长日,祝福,C,
,radio,gǎn yán,毕业,典礼,友谊,感言,计划,目标,感谢卡,回忆,家长日,祝福,D,
,radio,jì huà,毕业,典礼,友谊,感言,计划,目标,感谢卡,回忆,家长日,祝福,E,
,radio,mù biāo,毕业,典礼,友谊,感言,计划,目标,感谢卡,回忆,家长日,祝福,F,
,radio,gǎn xiè kǎ,毕业,典礼,友谊,感言,计划,目标,感谢卡,回忆,家长日,祝福,G,
,radio,huí yì,毕业,典礼,友谊,感言,计划,目标,感谢卡,回忆,家长日,祝福,H,
,radio,jiā zhǎng rì,毕业,典礼,友谊,感言,计划,目标,感谢卡,回忆,家长日,祝福,I,
,radio,zhù fú,毕业,典礼,友谊,感言,计划,目标,感谢卡,回忆,家长日,祝福,J,
