title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
买衣服,radio,yī fu,衣服,裙子,裤子,促销,便宜,合身,付款,试穿,颜色,价钱,A,
,radio,qún zi,衣服,裙子,裤子,促销,便宜,合身,付款,试穿,颜色,价钱,B,
,radio,kù zi,衣服,裙子,裤子,促销,便宜,合身,付款,试穿,颜色,价钱,C,
,radio,cù xiāo,衣服,裙子,裤子,促销,便宜,合身,付款,试穿,颜色,价钱,D,
,radio,pián yi,衣服,裙子,裤子,促销,便宜,合身,付款,试穿,颜色,价钱,E,
,radio,hé shēn,衣服,裙子,裤子,促销,便宜,合身,付款,试穿,颜色,价钱,F,
,radio,fù kuǎn,衣服,裙子,裤子,促销,便宜,合身,付款,试穿,颜色,价钱,G,
,radio,shì chuān,衣服,裙子,裤子,促销,便宜,合身,付款,试穿,颜色,价钱,H,
,radio,yán sè,衣服,裙子,裤子,促销,便宜,合身,付款,试穿,颜色,价钱,I,
,radio,jià qián,衣服,裙子,裤子,促销,便宜,合身,付款,试穿,颜色,价钱,J,
