title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
休闲活动,radio,xiū xián,休闲,跑步,钢琴,骑车,电影,下棋,阅读,忙碌,运动,兴趣,A,
,radio,pǎo bù,休闲,跑步,钢琴,骑车,电影,下棋,阅读,忙碌,运动,兴趣,B,
,radio,gāng qín,休闲,跑步,钢琴,骑车,电影,下棋,阅读,忙碌,运动,兴趣,C,
,radio,qí chē,休闲,跑步,钢琴,骑车,电影,下棋,阅读,忙碌,运动,兴趣,D,
,radio,diàn yǐng,休闲,跑步,钢琴,骑车,电影,下棋,阅读,忙碌,运动,兴趣,E,
,radio,xià qí,休闲,跑步,钢琴,骑车,电影,下棋,阅读,忙碌,运动,兴趣,F,
,radio,yuè dú,休闲,跑步,钢琴,骑车,电影,下棋,阅读,忙碌,运动,兴趣,G,
,radio,máng lù,休闲,跑步,钢琴,骑车,电影,下棋,阅读,忙碌,运动,兴趣,H,
,radio,yùn dòng,休闲,跑步,钢琴,骑车,电影,下棋,阅读,忙碌,运动,兴趣,I,
,radio,xìng qù,休闲,跑步,钢琴,骑车,电影,下棋,阅读,忙碌,运动,兴趣,J,
