title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
果树,radio,guǒ shù,果树,榴莲,椰树,香蕉,木瓜,果园,篮子,成熟,香甜,采摘,A,
,radio,liú lián,果树,榴莲,椰树,香蕉,木瓜,果园,篮子,成熟,香甜,采摘,B,
,radio,yē shù,果树,榴莲,椰树,香蕉,木瓜,果园,篮子,成熟,香甜,采摘,C,
,radio,xiāng jiāo,果树,榴莲,椰树,香蕉,木瓜,果园,篮子,成熟,香甜,采摘,D,
,radio,mù guā,果树,榴莲,椰树,香蕉,木瓜,果园,篮子,成熟,香甜,采摘,E,
,radio,guǒ yuán,果树,榴莲,椰树,香蕉,木瓜,果园,篮子,成熟,香甜,采摘,F,
,radio,lán zi,果树,榴莲,椰树,香蕉,木瓜,果园,篮子,成熟,香甜,采摘,G,
,radio,chéng shú,果树,榴莲,椰树,香蕉,木瓜,果园,篮子,成熟,香甜,采摘,H,
,radio,xiāng tián,果树,榴莲,椰树,香蕉,木瓜,果园,篮子,成熟,香甜,采摘,I,
,radio,cǎi zhāi,果树,榴莲,椰树,香蕉,木瓜,果园,篮子,成熟,香甜,采摘,J,
