title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
我爱我的工作,radio,zhí yè,职业,送餐员,快递员,保安,司机,农夫,小贩,工作忙,外卖,顾客,A,
,radio,sòng cān yuán,职业,送餐员,快递员,保安,司机,农夫,小贩,工作忙,外卖,顾客,B,
,radio,kuài dì yuán,职业,送餐员,快递员,保安,司机,农夫,小贩,工作忙,外卖,顾客,C,
,radio,bǎo ān,职业,送餐员,快递员,保安,司机,农夫,小贩,工作忙,外卖,顾客,D,
,radio,sī jī,职业,送餐员,快递员,保安,司机,农夫,小贩,工作忙,外卖,顾客,E,
,radio,nóng fū,职业,送餐员,快递员,保安,司机,农夫,小贩,工作忙,外卖,顾客,F,
,radio,xiǎo fàn,职业,送餐员,快递员,保安,司机,农夫,小贩,工作忙,外卖,顾客,G,
,radio,gōng zuò máng,职业,送餐员,快递员,保安,司机,农夫,小贩,工作忙,外卖,顾客,H,
,radio,wài mài,职业,送餐员,快递员,保安,司机,农夫,小贩,工作忙,外卖,顾客,I,
,radio,gù kè,职业,送餐员,快递员,保安,司机,农夫,小贩,工作忙,外卖,顾客,J,
